Original Name,Canonical Name
3M,3M
3M Company,3M
3M Corporation,3M
3M Industries,3M
AA,AA
AAPL,Apple
Accenture plc,Accenture plc
Adidas,Adidas
Adidas AG,Adidas
Adidas Athletic,Adidas
Adidas Group,Adidas
Adidas Sportswear,Adidas
Adobe,Adobe
Adobe Corporation,Adobe
Adobe Inc.,Adobe
Adobe Rent-A-Car,Adobe Rent-A-Car
Adobe Systems,Adobe
Adobe Systems Inc.,Adobe
Air BNB,Airbnb
Airbnb,Airbnb
Airbnb Hosting,Airbnb
Airbnb Inc.,Airbnb
Airbnb Services,Airbnb
Alaska Airlines,Alaska Airlines
Alphabet,Alphabet
Alphabet Inc.,Alphabet
Altria Group Inc,Altria Group Inc
Amajon.com,Amazon
Amazn.com,Amazon
Amazon,Amazon
Amazon Corporation,Amazon
Amazon Inc.,Amazon
Amazon Logistics LLC,Amazon
Amazon Web Services,Amazon
Amazon.com Inc (Seattle),Amazon
Amazon.com Inc.,Amazon
America Online,America Online
American,American
American Airlines,American
American Airlines Group Inc.,American
American Airlines Inc.,American
American Express,American Express
American Express Company,American Express
American Express Corporation,American Express
American Family Insurance,American Family Insurance
American General Insurance,American General Insurance
American Standard,American Standard
American Telephone and Telegraph,American Telephone and Telegraph
AmEx,AmEx
Amex,AmEx
AMZN,Amazon
Andersen Consulting,Andersen Consulting
Anthem Inc,Anthem Inc
AOL Inc,AOL Inc
Appel Computer,Apple
Apple,Apple
Apple Computer,Apple
Apple Computer Company,Apple
Apple Computer Inc.,Apple
Apple Inc.,Apple
Apple Inc. Cupertino California,Apple
Apple Incorporated,Apple
Apple Records Limited,Apple
Astra Zeneca,Astra Zeneca
AstraZeneca,AstraZeneca
AstraZeneca Corporation,AstraZeneca
AstraZeneca Pharmaceutical,AstraZeneca
AstraZeneca PLC,AstraZeneca
AT&T,AT&T
AT&T Corporation,AT&T
AT&T Inc.,AT&T
ATT,AT&T
BAC,BAC
BackRub Inc,BackRub Inc
Bank of America,Bank of America
Bank of America Corp,Bank of America
Bank of America Corporation,Bank of America
Bayerische Motoren Werke,BMW
Bayerische Motoren Werke AG,BMW
Beats Electronics,Beats Electronics
Berkshire,Berkshire
Berkshire Hathaway,Berkshire
Berkshire Hathaway Corporation,Berkshire
Berkshire Hathaway Inc.,Berkshire
Berkshire-Hathaway,Berkshire
Best Buy,Best Buy
Best Buy Co Inc,Best Buy
Best Buy Electronics,Best Buy
Big Blue,Big Blue
BlackBerry Ltd,BlackBerry Ltd
BMW,BMW
BMW AG,BMW
BMW Automotive,BMW
BMW Group,BMW
BoA,Bank of America
Boeing,Boeing
Boeing Aerospace,Boeing
Boeing Aircraft,Boeing
Boeing Company,Boeing
Boeing Company Seattle WA,Boeing
Boeing Corp,Boeing
BofA,Bank of America
BP,BP
BP Energy,BP
BP Oil,BP
BP p.l.c.,BP
BP plc,BP
British Petroleum,BP
Broadcom,Broadcom
Broadcom Corporation,Broadcom
Broadcom Inc.,Broadcom
Broadcom Limited,Broadcom
Broadcom Technologies,Broadcom
Canon,Canon
Canon Corporation,Canon
Canon Group,Canon
Canon Inc.,Canon
Canon Industries,Canon
CAT,Caterpillar
Caterpillar,Caterpillar
Caterpillar Inc.,Caterpillar
Caterpillar Industries,Caterpillar
Caterpillar Manufacturing,Caterpillar
Charles Schwab,Charles Schwab
Charles Schwab Corporation,Charles Schwab
Chase Bank NA,Chase Bank NA
Chevron,Chevron
Chevron Corp,Chevron
Chevron Corporation,Chevron
Chevron Energy,Chevron
Chevron Oil,Chevron
Circuit City,Circuit City
Cisco,Cisco
Cisco Inc.,Cisco
Cisco Networking,Cisco
Cisco Systems,Cisco
Cisco Systems Inc.,Cisco
Cisco Systems San Jose CA,Cisco
Cisko Systems,Cisco
Citi,Citi
Citibank,Citi
Citicorp,Citi
Citigroup,Citi
Citigroup Inc.,Citi
Coca Cola,Coca-Cola
Coca Cola Company,Coca-Cola
Coca-Cola,Coca-Cola
Coca-Cola Company,Coca-Cola
Comcast,Comcast
Comcast Cable,Comcast
Comcast Communications,Comcast
Comcast Corp,Comcast
Comcast Corporation,Comcast
Conoco,Conoco
Conoco Phillips,Conoco
ConocoPhillips,Conoco
ConocoPhillips Company,Conoco
Continental Airlines,Continental Tire
Continental Tire,Continental Tire
Costco,Costco
Costco Retail,Costco
Costco Warehouse,Costco
Costco Wholesale,Costco
Costco Wholesale Corporation,Costco
CVS Caremark,CVS Pharmacy
CVS Health Corporation,CVS Pharmacy
CVS Pharmacy,CVS Pharmacy
Daimler,Daimler
Daimler AG,Daimler
Daimler-Benz AG,Daimler
Deere,Deere
Deere & Company,Deere
Deere and Company,Deere
Dell,Dell
Dell Computer,Dell
Dell Corporation,Dell
Dell Inc.,Dell
Dell Technologies Inc.,Dell
Delta,Delta
Delta Air,Delta
Delta Air Lines,Delta
Delta Air Lines Inc.,Delta
Delta Airlines,Delta
Delta Community Credit Union,Delta Community Credit Union
Delta Dental,Delta Dental
Delta Faucet Company,Delta Faucet Company
DHL,DHL
DHL Corporation,DHL
DHL Express,DHL
DHL International GmbH,DHL
DHL Logistics,DHL
Disney,Disney
Disney Company,Disney
Domino Printing Sciences,Domino Printing Sciences
Dominoes Pizza,Dominoes Pizza
Dominos Pizza Inc,Dominos Pizza Inc
Dunkin Brands,Dunkin Brands
Dunkin Donuts,Dunkin Brands
E*TRADE Financial,E*TRADE Financial
eBay Inc,eBay Inc
Exxon,Exxon
Exxon Mobil,Exxon
ExxonMobil,Exxon
ExxonMobil Corporation,Exxon
Facebook,Facebook
Facebook Inc.,Facebook
Fazebook Inc,Facebook
FB,Facebook
Federal Express,Federal Express
Federal Express Corporation,Federal Express
FedEx,FedEx
FedEx Corp,FedEx
FedEx Corporation,FedEx
Fiat Chrysler Automobiles,Fiat Chrysler Automobiles
Fidelity Investments,Fidelity Investments
First American Financial,First American Financial
Ford,Ford
Ford Automotive,Ford
Ford Motor Co.,Ford
Ford Motor Company,Ford
Ford Motors,Ford
Frontier Airlines,Frontier Airlines
Gap Inc,Gap Inc
GE,GE
GE Co,GE
GE Corporation,GE
General Dynamics Corp,General Dynamics Corp
General Electric,General Motors
General Electric Co.,General Motors
General Electric Company,General Motors
General Mills Inc,General Motors
General Motors,General Motors
General Motors Company,General Motors
General Motors Corp,General Motors
GitHub,GitHub
GitHub Inc,GitHub
Glaxo SmithKline,Glaxo SmithKline
GlaxoSmithKline,GlaxoSmithKline
GlaxoSmithKline Corporation,GlaxoSmithKline
GlaxoSmithKline PLC,GlaxoSmithKline
GM,GM
GM Corporation,GM
Gogle Inc,Google
Goldman,Goldman
Goldman Sachs,Goldman
Goldman Sachs & Co.,Goldman
Goldman Sachs Group,Goldman
Goldman Sachs Group Inc.,Goldman
GOOGL,Google
Google,Google
Google Inc.,Google
Google LLC,Google
Google LLC - Mountain View,Google
Gooogle LLC,Google
GSK,GSK
Gugle Inc,Google
H and M,H&M
H&M,H&M
H&M Hennes & Mauritz AB,H&M
HD,HD
Heinz,Heinz
Hennes & Mauritz,H&M
Hennes and Mauritz,H&M
HermÃ¨s,HermÃ¨s
HermÃ¨s International S.A.,HermÃ¨s
Hermes,HermÃ¨s
Hermes Group,HermÃ¨s
Hermes International S.A.,HermÃ¨s
Hewlett Packard,Hewlett-Packard
Hewlett Packard Enterprise,Hewlett-Packard
Hewlett-Packard,Hewlett-Packard
Hilton,Hilton
Hilton Hotels,Hilton
Hilton Hotels Corporation,Hilton
Hilton Worldwide,Hilton
Hilton Worldwide Holdings Inc.,Hilton
Home Depot,Home Depot
Home Depot Inc.,Home Depot
Home Depot Retail,Home Depot
Home Depot Stores,Home Depot
HonÐ´Ð° Motor,Honda
Honda,Honda
Honda Automotive,Honda
Honda Motor Co.,Honda
Honda Motor Company,Honda
Honda Motors,Honda
Honeywell,Honeywell
Honeywell Corporation,Honeywell
Honeywell Industries,Honeywell
Honeywell International,Honeywell
Honeywell International Inc.,Honeywell
Hongkong and Shanghai Banking Corporation,Hongkong and Shanghai Banking Corporation
HP,HP
HP Inc.,HP
HPE,HPE
HPQ,HPQ
HSBC Holdings plc,HSBC Holdings plc
Humana Inc,Humana Inc
Hyatt,Hyatt
Hyatt Corporation,Hyatt
Hyatt Hotels,Hyatt
Hyatt Hotels Corporation,Hyatt
Hyatt Regency,Hyatt
IBM,IBM
IBM Corp,IBM
"IBM Corp, Armonk NY",IBM
IBM Corporation,IBM
IKEA,IKEA
IKEA Corporation,IKEA
IKEA Group,IKEA
IKEA International,IKEA
Inditex,Inditex
Instagram Inc,Instagram Inc
Intel,Intel
Intel Corp,Intel
Intel Corporation,Intel
Intel Corporation Santa Clara,Intel
Intel Semiconductor,Intel
Intel Technologies,Intel
Inter IKEA Group,Inter IKEA Group
International Business Machines,International Business Machines
International Business Machines Corp,International Business Machines
Intl Business Machines,Intl Business Machines
J&J,J&J
J.P. Morgan,J&J
JetBlue,JetBlue
JetBlue Airways,JetBlue
John Deere,John Deere
John Deere Corporation,John Deere
Johnson & Johnson,Johnson & Johnson
Johnson & Johnson Corporation,Johnson & Johnson
Johnson & Johnson Inc.,Johnson & Johnson
Johnson and Johnson,Johnson & Johnson
JP Morgan Chase,JPM
JPM,JPM
JPMorgan,JPM
JPMorgan Chase,JPM
JPMorgan Chase & Co.,JPM
Kentucky Fried Chicken,Kentucky Fried Chicken
KFC Corporation,Kentucky Fried Chicken
Koninklijke Philips,Koninklijke Philips
Kraft,Kraft
Kraft Heinz,Kraft
Kraft Heinz Company,Kraft
Kraft-Heinz,Kraft
Lenovo,Lenovo
Lenovo Corporation,Lenovo
Lenovo Group,Lenovo
Lenovo Group Limited,Lenovo
Lenovo Technologies,Lenovo
LG,LG
LG Corporation,LG
LG Electronics,LG
LG Group,LG
Linkd In,Linkd In
LinkedIn,LinkedIn
LinkedIn Corp,LinkedIn
LinkedIN Corp,LinkedIn
LinkedIn Corporation,LinkedIn
LinkedIn Networking,LinkedIn
LinkedIn Professional,LinkedIn
Lockheed,Lockheed
Lockheed Martin,Lockheed
Lockheed Martin Corp,Lockheed
Lockheed Martin Corporation,Lockheed
L'OrÃ©al,Loreal
L'OrÃ©al S.A.,Loreal
Loreal,Loreal
L'Oreal,Loreal
L'Oreal S.A.,Loreal
Louis Vuitton,Louis Vuitton
Louis Vuitton MoÃ«t Hennessy,Louis Vuitton
Lowes,Lowes
Lowe's,Lowe's
Lowes Companies Inc.,Lowes
Lowe's Companies Inc.,Lowe's
Lowe's Home Improvement,Lowe's
Lucky Goldstar,Lucky Goldstar
LV,Louis Vuitton
LVMH,Louis Vuitton
LVMH MoÃ«t Hennessy Louis Vuitton,Louis Vuitton
Macdonalds Corp,McDonalds
Marriott,Marriott
Marriott Corporation,Marriott
Marriott Hotels,Marriott
Marriott International,Marriott
Marriott International Inc.,Marriott
Martin Marietta,Martin Marietta
Master Card,Master Card
Mastercard,MasterCard
MasterCard,MasterCard
Mastercard Inc.,MasterCard
Mastercard Incorporated,MasterCard
McDonalds,McDonalds
McDonald's,McDonalds
McDonald's Corp,McDonalds
McDonalds Corporation,McDonalds
McDonald's Corporation,McDonalds
Mercedes Benz,Mercedes-Benz
Mercedes-Benz,Mercedes-Benz
Mercedes-Benz Group AG,Mercedes-Benz
Merck,Merck
Merck & Co.,Merck
Merck & Co. Inc.,Merck
Merck and Company,Merck
Merck Corporation,Merck
Meta,Meta
Meta Financial Group,Meta
Meta Platforms,Meta
"Meta Platforms Inc, Menlo Park",Meta
Meta Platforms Inc.,Meta
Microsawft Corp,Microsoft
Microsft Corporation,Microsoft
Microsoft,Microsoft
Microsoft Company,Microsoft
Microsoft Corp,Microsoft
Microsoft Corp USA,Microsoft
Microsoft Corp.,Microsoft
Microsoft Corporation,Microsoft
"Microsoft Corporation, Redmond WA",Microsoft
Mircrosoft Corp,Microsoft
Mobil,Exxon
Moderna,Moderna
Moderna Biotech,Moderna
Moderna Corporation,Moderna
Moderna Inc.,Moderna
Moderna Therapeutics,Moderna
MondelÄ“z International,Mondelez
Mondelez,Mondelez
Mondelez Corporation,Mondelez
Mondelez International,Mondelez
Mondelez International Inc.,Mondelez
Morgan Corporation,Morgan Stanley
Morgan Stanley,Morgan Stanley
Morgan Stanley & Co.,Morgan Stanley
Morgan Stanley Corporation,Morgan Stanley
Morgan Stanley Group,Morgan Stanley
Morgan Stanley Inc.,Morgan Stanley
MS Corp USA,MS Corp USA
MSFT,MSFT
Nest Labs,Nest Labs
NestlÃ©,NestlÃ©
NestlÃ© Corporation,NestlÃ©
NestlÃ© S.A.,NestlÃ©
Nestle,NestlÃ©
Nestle S.A.,NestlÃ©
Netflix,Netflix
Netflix Entertainment,Netflix
NetFlix Inc,Netflix
Netflix Inc.,Netflix
Netflix Media,Netflix
Netflix Streaming,Netflix
Nettflix Media,Netflix
NFLX,Netflix
Nike,Nike
Nike Athletic,Nike
Nike Corporation,Nike
Nike Inc Beaverton Oregon,Nike
Nike Inc.,Nike
Nike Sportswear,Nike
Nikon,Nikon
Nikon Corp,Nikon
Nikon Corporation,Nikon
Nikon Imaging,Nikon
Nikon Industries,Nikon
Nvidea Corporation,Nvidea Corporation
Nvidia,NVIDIA
NVIDIA,NVIDIA
Nvidia Corp,NVIDIA
Nvidia Corporation,NVIDIA
NVIDIA Corporation,NVIDIA
Nvidiya Corp,Nvidiya Corp
Oculus VR,Oculus VR
Old Navy,Old Navy
Oracle,Oracle
Oracle America Inc,Oracle
Oracle Corp,Oracle
Oracle Corp USA,Oracle
Oracle Corporation,Oracle
"Oracle Corporation, Austin Texas",Oracle
Oracle Financial Services,Oracle
Oracle International,Oracle
Oracle Systems,Oracle
Orakel Systems,Oracle
Oralce Systems,Oracle
ORCL,Oracle
P&G,Procter & Gamble
Panasonic,Panasonic
Panasonic Corp,Panasonic
Panasonic Corporation,Panasonic
Panasonic Electric,Panasonic
Panasonic Industries,Panasonic
Pay Pal Holdings,PayPal
PayPal,PayPal
PayPal Holdings,PayPal
Paypal Holdings,PayPal
PayPal Holdings Inc.,PayPal
PayPal Inc.,PayPal
PayPal Services,PayPal
Pepsi,Pepsi
Pepsi Co,Pepsi
Pepsi Corporation,Pepsi
PepsiCo,Pepsi
PepsiCo Inc.,Pepsi
Pfizer,Pfizer
Pfizer Corporation,Pfizer
Pfizer Inc.,Pfizer
Pfizer Industries,Pfizer
Pfizer Pharmaceutical,Pfizer
Philip Morris Companies,Philip Morris Companies
Philips,Philips
Philips Electronics,Philips
Philips N.V.,Philips
Phillips 66,Phillips 66
Procter & Gamble,Procter & Gamble
Procter & Gamble Co.,Procter & Gamble
Procter & Gamble Company,Procter & Gamble
Procter and Gamble,Procter & Gamble
Puma,Puma
Puma Athletic,Puma
Puma Group,Puma
Puma SE,Puma
Puma Sportswear,Puma
Qualcomm,Qualcomm
Qualcomm Corporation,Qualcomm
Qualcomm Inc.,Qualcomm
Qualcomm Incorporated,Qualcomm
Qualcomm Technologies,Qualcomm
Quantum Computer Services,Quantum Computer Services
Radio Shack Corporation,RadioShack
RadioShack,RadioShack
Raytheon,Raytheon
Raytheon Company,Raytheon
Raytheon Industries,Raytheon
Raytheon Technologies,Raytheon
Raytheon Technologies Corporation,Raytheon
Red Hat Inc,Red Hat Inc
Research In Motion,Research In Motion
RIM,RIM
Royal Dutch Shell,Royal Dutch Shell
Royal Philips,Royal Philips
Salesfarce Inc,Salesforce
Salesforce,Salesforce
Salesforce Corporation,Salesforce
Salesforce CRM,Salesforce
SalesForce Inc,Salesforce
Salesforce Inc.,Salesforce
Salesforce.com,Salesforce
Salesforce.com Inc.,Salesforce
Samsung,Samsung
Samsung Corporation,Samsung
Samsung Electronics,Samsung
Samsung Electronics Co.,Samsung
Samsung Group,Samsung
Samung Electronics,Samsung
SAP AG,SAP SE
SAP SE,SAP SE
Shell,Shell
Shell Energy,Shell
Shell Oil,Shell
Shell plc,Shell
Siemens,Siemens
Siemens AG,Siemens
Siemens Corporation,Siemens
Siemens Group,Siemens
Siemens Industries,Siemens
Sisco Systems,Cisco
Slack,Slack
Slack Communication,Slack
Slack Inc.,Slack
Slack Messaging,Slack
Slack Technologies Inc.,Slack
Snap,Snap
Snap Inc.,Snap
Snap Interactive,Snap
Snapchat,Snapchat
Snapchat Inc.,Snapchat
SociÃ©tÃ© GÃ©nÃ©rale,SociÃ©tÃ© GÃ©nÃ©rale
Societe Generale SA,SociÃ©tÃ© GÃ©nÃ©rale
Sony,Sony
Sony Corp,Sony
Sony Corporation,Sony
Sony Electronics,Sony
Sony Entertainment,Sony
Southwest,Southwest
Southwest Air,Southwest
Southwest Airlines,Southwest
Southwest Airlines Co.,Southwest
Space Exploration Technologies,SpaceX
SpaceX,SpaceX
Spirit Airlines,Spirit Airlines
Spotfy Music,Spotify
Spotify,Spotify
Spotify AB,Spotify
Spotify Entertainment,Spotify
Spotify Music,Spotify
Spotify Technology S.A.,Spotify
Spotifye Music,Spotify
Starbucks,Starbucks
Starbucks Coffee,Starbucks
Starbucks Coffee Company,Starbucks
Starbucks Corp,Starbucks
Starbucks Corporation,Starbucks
Stellantis N.V.,Stellantis N.V.
Sun Microsystems,Sun Microsystems
SWA,SWA
T Mobile,T-Mobile
Taco Bell Corp,Taco Bell Corp
Target,Target
Target Corp,Target
Target Corporation,Target
Target Marketing Group,Target
Target Media,Target
Target Retail,Target
Target Stores,Target
TD Ameritrade,TD Ameritrade
Tesla,Tesla
Tesla Automotive,Tesla
Tesla Inc.,Tesla
"Tesla Inc., Austin TX",Tesla
Tesla Motors,Tesla
Tesla Motors Inc.,Tesla
Teslla Motors,Tesla
Texas Instruments,Texas Instruments
Texas Instruments Inc.,Texas Instruments
Texas Instruments Incorporated,Texas Instruments
Tezla Motors,Tesla
TGT,TGT
The Coca Cola Company Atlanta,Coca-Cola
The Coca-Cola Company,Coca-Cola
The Gap,Gap Inc
The Home Depot,Home Depot
The Walt Disney Company,Disney
The Zon,The Zon
Three M Company,3M
TI,Texas Instruments
Time Warner Inc,Time Warner Inc
TMobile,TMobile
T-Mobile,T-Mobile
T-Mobile US Inc.,T-Mobile
T-Mobile USA,T-Mobile
Toyata Motors,Toyota
Toyoda Motors,Toyota
Toyota,Toyota
Toyota Automotive,Toyota
Toyota Motor Co.,Toyota
Toyota Motor Corporation,Toyota
Toyota Motors,Toyota
TSLA,Tesla
Twiter Inc,Twitter
Twitter,Twitter
Twitter Inc.,Twitter
Twitter Social Media,Twitter
TXN,TXN
Uber,Uber
Uber Inc.,Uber
Uber Rides,Uber
Uber Technologies,Uber
Uber Technologies Inc.,Uber
Unilever,Unilever
Unilever Corporation,Unilever
Unilever Group,Unilever
Unilever Industries,Unilever
Unilever PLC,Unilever
United,United
United Air Lines,United
United Airlines,United
United Airlines Holdings Inc.,United
United Airlines Inc.,United
United Healthcare,United
United Parcel Service,UPS
United Parcel Service Inc.,UPS
United Rentals Inc,United
UnitedHealth Group,UnitedHealthcare
UnitedHealthcare,UnitedHealthcare
UPS,UPS
UPS Corporation,UPS
UPS Inc.,UPS
Vanguard Group,Vanguard Group
Verizon,Verizon
Verizon Communications,Verizon
Verizon Communications Inc.,Verizon
Verizon Corporation,Verizon
Verizon Wireless,Verizon
Visa,Visa
Visa Corporation,Visa
Visa Inc.,Visa
Visa International,Visa
Visa Payments,Visa
VMware Inc,VMware Inc
Volksagen Group,Volkswagen
Volkswagen,Volkswagen
Volkswagen AG,Volkswagen
Volkswagen Aktiengesellschaft,Volkswagen
Volkswagen Automotive,Volkswagen
Volkswagen Group,Volkswagen
VW,Volkswagen
Walgreens Boots Alliance,Walgreens Co
Walgreens Co,Walgreens Co
Walgreens Pharmacy,Walgreens Co
Walmart,Walmart
Wal-Mart,Walmart
Walmart Inc Bentonville Arkansas,Walmart
Walmart Inc.,Walmart
Wal-Mart Inc.,Walmart
Walmart Stores,Walmart
Walt Disney,Disney
Walt Disney Company,Disney
Warner Bros Discovery,Warner Bros.
Warner Bros.,Warner Bros.
Warner Bros. Discovery Inc.,Warner Bros.
Warner Brothers,Warner Bros.
Waze Mobile,Waze Mobile
WB,WB
Wells Fargo,Wells Fargo
Wells Fargo & Co.,Wells Fargo
Wells Fargo & Company,Wells Fargo
Wells Fargo Bank,Wells Fargo
Wells Fargo Corporation,Wells Fargo
WFC,WFC
WhatsApp Inc,WhatsApp Inc
Whole Foods Market,Whole Foods Market
WMT,WMT
X Corp,X Corp
X Corporation,X Corp
YouTube LLC,YouTube LLC
Yum Brands,Yum Brands
Yum! Brands Inc,Yum Brands
Zara,Zara
Zara Fashion,Zara
Zara International,Zara
Zara Retail,Zara
Zoom,Zoom
Zoom Communications,Zoom
Zoom Inc.,Zoom
Zoom Telephonics Inc,Zoom
Zoom Video,Zoom
Zoom Video Communications Inc.,Zoom
Zuck Company,Zuck Company
